Class Name,Accuracy
banded,0.0
blotchy,5.0
braided,30.0
bubbly,62.5
bumpy,0.0
chequered,85.0
cobwebbed,80.0
cracked,45.0
crosshatched,35.0
crystalline,92.5
dotted,10.0
fibrous,7.5
flecked,0.0
freckled,75.0
frilly,62.5
gauzy,47.5
grid,32.5
grooved,20.0
honeycombed,52.5
interlaced,0.0
knitted,90.0
lacelike,5.0
lined,0.0
marbled,7.5
matted,10.0
meshed,47.5
paisley,100.0
perforated,80.0
pitted,0.0
pleated,70.0
polka-dotted,87.5
porous,47.5
potholed,85.0
scaly,2.5
smeared,57.5
spiralled,27.5
sprinkled,42.5
stained,42.5
stratified,60.0
striped,55.0
studded,77.5
swirly,30.0
veined,17.5
waffled,67.5
woven,30.0
wrinkled,60.0
zigzagged,45.0
