Class Name,Accuracy
banded,0.0
blotchy,10.0
braided,40.0
bubbly,80.0
bumpy,2.5
chequered,90.0
cobwebbed,82.5
cracked,57.5
crosshatched,35.0
crystalline,92.5
dotted,7.5
fibrous,5.0
flecked,0.0
freckled,77.5
frilly,62.5
gauzy,37.5
grid,25.0
grooved,32.5
honeycombed,47.5
interlaced,2.5
knitted,92.5
lacelike,0.0
lined,5.0
marbled,20.0
matted,17.5
meshed,42.5
paisley,100.0
perforated,77.5
pitted,2.5
pleated,80.0
polka-dotted,87.5
porous,42.5
potholed,80.0
scaly,15.0
smeared,62.5
spiralled,12.5
sprinkled,42.5
stained,50.0
stratified,50.0
striped,65.0
studded,80.0
swirly,37.5
veined,15.0
waffled,67.5
woven,37.5
wrinkled,55.0
zigzagged,7.5
